cpower1,cspeed1,c1 LED,c1 VED,cpower2,cspeed2,c2 LED,c2 VED,angle,eta_SID,rho_s_SID,sig_s_SID,Sa,Sq,Ssk,Sku,sigma_s_rho,Sdq,Sdr
138,390,0.353846154,8.846153846,80,800,0.1,2.5,10,0.0751,1.0852,35.0862,28.2123,35.492,0.3708,2.9189,32.33155179,62.842,120.342
138,390,0.353846154,8.846153846,80,800,0.1,2.5,15,0.0682,1.1039,26.3694,21.0132,26.6931,0.2783,3.4656,23.88748981,63.692,126.83
138,390,0.353846154,8.846153846,80,800,0.1,2.5,20,0.076,1.1753,19.5234,15.9228,19.9322,0.0805,3.0162,16.61141836,59.963,97.593
138,390,0.353846154,8.846153846,80,800,0.1,2.5,25,0.0764,1.1471,20.1271,16.4801,20.4488,0.4749,2.8951,17.54607271,56.529,76.4
138,390,0.353846154,8.846153846,80,800,0.1,2.5,30,0.0861,1.3346,17.7545,14.1192,18.0066,0.2595,3.3998,13.30323692,59.953,101.148
138,390,0.353846154,8.846153846,80,800,0.1,2.5,35,0.0894,1.4397,14.9307,11.3232,14.966,0.9956,4.3153,10.37070223,55.622,73.551
138,390,0.353846154,8.846153846,80,800,0.1,2.5,40,0.0882,1.5084,11.2785,8.6603,11.6988,0.911,6.1372,7.477128083,54.697,69.478
138,390,0.353846154,8.846153846,80,800,0.1,2.5,45,0.0917,1.213,12.6302,10.2472,12.8053,0.4923,3.5981,10.41236603,57.169,81.749
138,390,0.353846154,8.846153846,80,800,0.1,2.5,50,0.0932,1.1815,9.1291,7.0502,9.2707,0.6382,4.9953,7.726703343,57.355,84.277
138,390,0.353846154,8.846153846,80,800,0.1,2.5,55,0.0933,1.2555,10.3604,8.21,10.2582,0.7108,3.3971,8.252011151,58.114,87.795
138,390,0.353846154,8.846153846,80,800,0.1,2.5,60,0.0926,1.1995,7.9096,5.8835,8.0501,1.3855,9.5737,6.594080867,59.738,101.012
138,390,0.353846154,8.846153846,80,800,0.1,2.5,65,0.0891,1.4656,7.5686,5.6689,7.5752,0.9726,5.49,5.164164847,60.04,105.146
138,390,0.353846154,8.846153846,80,800,0.1,2.5,70,0.0901,1.3339,8.2182,6.0275,8.1736,1.0384,5.5853,6.161031562,63.829,141.475
138,390,0.353846154,8.846153846,80,800,0.1,2.5,75,0.0917,1.3206,7.5564,5.6876,7.5051,0.9723,4.787,5.721944571,63.027,132.499
138,390,0.353846154,8.846153846,80,800,0.1,2.5,80,0.0888,1.2532,8.6283,6.4244,8.5599,1.0362,5.0013,6.885014363,65.953,170.677
138,390,0.353846154,8.846153846,80,800,0.1,2.5,85,0.0862,1.2644,9.0585,6.5407,9.1315,1.4594,7.2247,7.164267637,67.114,190.536
138,390,0.353846154,8.846153846,80,800,0.1,2.5,90,0.0895,1.0813,8.503,6.3356,8.4442,1.0545,5.0516,7.863682604,65.348,163.509
151.8,390,0.389230769,9.730769231,88,800,0.11,2.75,0,0.097,1.2012,13.9384,10.0827,14.8835,-0.9648,8.5508,11.6037296,56.434,77.484
151.8,390,0.389230769,9.730769231,88,800,0.11,2.75,5,0.0672,1.1014,39.5763,32.2996,39.3934,0.3779,2.6638,35.93272199,62.709,120.319
151.8,390,0.389230769,9.730769231,88,800,0.11,2.75,10,0.08,0.9189,30.7819,24.3277,32.0238,-0.0386,3.3996,33.49863968,68.422,195.09
151.8,390,0.389230769,9.730769231,88,800,0.11,2.75,15,0.0801,1.0095,19.8056,15.1711,20.6894,0.6389,5.617,19.61921743,59.365,95.626
151.8,390,0.389230769,9.730769231,88,800,0.11,2.75,20,0.0804,1.0559,21.973,17.6249,21.967,0.4454,2.9622,20.80973577,61.218,109.505
151.8,390,0.389230769,9.730769231,88,800,0.11,2.75,25,0.0904,1.0867,18.4685,14.2461,18.366,0.9447,3.9675,16.99503083,62.264,117.5
151.8,390,0.389230769,9.730769231,88,800,0.11,2.75,30,0.0924,1.1477,14.397,10.9376,14.2064,0.5645,3.8556,12.54421887,59.179,93.494
151.8,390,0.389230769,9.730769231,88,800,0.11,2.75,35,0.0943,1.1908,14.8083,11.4753,14.9465,0.999,4.8915,12.43558952,58.815,92.217
151.8,390,0.389230769,9.730769231,88,800,0.11,2.75,40,0.0915,1.2669,11.8358,9.3706,11.9757,0.2695,3.5848,9.342331676,56.072,76.799
151.8,390,0.389230769,9.730769231,88,800,0.11,2.75,45,0.0925,1.4268,10.6768,8.4704,10.9439,1.1229,6.0992,7.483038968,58.364,90.36
151.8,390,0.389230769,9.730769231,88,800,0.11,2.75,50,0.0936,1.4552,10.6774,8.348,10.7652,0.7715,4.1331,7.337410665,55.799,75.272
151.8,390,0.389230769,9.730769231,88,800,0.11,2.75,55,0.0938,1.3541,9.2014,7.171,9.1868,0.5731,4.9662,6.795214534,56.846,81.2
151.8,390,0.389230769,9.730769231,88,800,0.11,2.75,60,0.0921,1.3805,7.7149,5.7135,7.7988,1.4716,8.6349,5.588482434,58.038,88.869
151.8,390,0.389230769,9.730769231,88,800,0.11,2.75,65,0.0908,1.4737,8.9253,7.0231,8.9778,0.7624,3.8978,6.056388682,57.562,85.876
151.8,390,0.389230769,9.730769231,88,800,0.11,2.75,70,0.091,1.4993,6.6871,4.852,6.6326,1.5023,7.3479,4.460148069,59.897,101.756
151.8,390,0.389230769,9.730769231,88,800,0.11,2.75,75,0.0956,1.1915,7.1645,5.3597,7.0659,1.1065,5.6126,6.013008812,63.074,130.775
151.8,390,0.389230769,9.730769231,88,800,0.11,2.75,80,0.0956,1.1602,7.8333,5.5679,7.6931,1.4395,6.1584,6.751680745,65.927,168.273
151.8,390,0.389230769,9.730769231,88,800,0.11,2.75,85,0.0954,1.2832,8.2391,5.8393,8.0163,1.2852,5.9926,6.420745012,67.21,190.175
151.8,390,0.389230769,9.730769231,88,800,0.11,2.75,90,0.098,1.0639,8.6098,6.2545,8.5683,0.8556,5.1597,8.092677883,67.964,205.948
165.6,390,0.424615385,10.61538462,96,800,0.12,3,0,0.0952,1.4803,9.1069,7.3128,9.3172,0.2812,4.0499,6.152063771,51.518,55.791
165.6,390,0.424615385,10.61538462,96,800,0.12,3,5,0.0876,0.9888,26.5237,22.0234,26.4427,0.2763,2.5307,26.82413026,55.461,74.328
165.6,390,0.424615385,10.61538462,96,800,0.12,3,10,0.0788,1.1317,23.0154,18.0922,23.6187,0.3933,3.2727,20.33701511,57.514,82.482
165.6,390,0.424615385,10.61538462,96,800,0.12,3,15,0.0817,1.34,18.953,15.6487,18.8449,0.0237,2.3502,14.14402985,48.708,47.436
165.6,390,0.424615385,10.61538462,96,800,0.12,3,20,0.0862,1.2008,14.5362,11.9441,15.1682,0.7085,3.7948,12.10542971,55.998,76.404
165.6,390,0.424615385,10.61538462,96,800,0.12,3,25,0.094,1.3326,15.3909,12.348,15.9902,1.036,7.6321,11.54952724,58.799,90.731
165.6,390,0.424615385,10.61538462,96,800,0.12,3,30,0.0976,1.3281,16.5799,12.3849,16.7215,1.1111,4.7373,12.4839244,59.277,95.607
165.6,390,0.424615385,10.61538462,96,800,0.12,3,35,0.0961,1.3508,14.2653,11.0471,14.3082,0.6055,3.4035,10.56063074,55.729,76.146
165.6,390,0.424615385,10.61538462,96,800,0.12,3,40,0.0949,1.3001,12.0465,9.0532,11.9586,0.7515,3.9929,9.265825706,57.182,84.132
165.6,390,0.424615385,10.61538462,96,800,0.12,3,45,0.0936,1.3281,12.3417,9.922,13.0465,0.5432,5.7723,9.29274904,61.487,105.901
165.6,390,0.424615385,10.61538462,96,800,0.12,3,50,0.099,1.1767,10.9676,8.8245,11.0735,0.7387,3.8297,9.320642475,59.982,104.378
165.6,390,0.424615385,10.61538462,96,800,0.12,3,55,0.0971,1.0722,14.7531,10.3625,17.3272,3.7385,25.1817,13.75965305,63.057,130.75
165.6,390,0.424615385,10.61538462,96,800,0.12,3,60,0.0989,1.2306,8.3458,6.4935,8.524,0.8304,4.8999,6.781895011,58.699,94.69
165.6,390,0.424615385,10.61538462,96,800,0.12,3,65,0.0982,1.0727,9.2398,7.3836,9.3292,0.6888,4.0298,8.613591871,60.397,108.377
165.6,390,0.424615385,10.61538462,96,800,0.12,3,70,0.0967,1.3066,7.8793,6.1195,7.9036,0.6762,4.0872,6.030384203,61.117,114.59
165.6,390,0.424615385,10.61538462,96,800,0.12,3,75,0.0966,1.1841,7.4879,5.5915,7.5803,1.0279,5.4156,6.323705768,59.662,102.639
165.6,390,0.424615385,10.61538462,96,800,0.12,3,80,0.0979,1.2905,7.3703,5.5633,7.3634,0.8515,5.0697,5.71119721,59.418,99.855
165.6,390,0.424615385,10.61538462,96,800,0.12,3,85,0.0975,1.1708,8.3917,6.3475,8.3946,0.9678,4.958,7.167492313,62.619,128.557
165.6,390,0.424615385,10.61538462,96,800,0.12,3,90,0.0994,1.1136,7.6908,5.7669,7.5553,0.4565,4.3468,6.90625,63.673,139.251
0,4000,0,0,35,2500,0.014,0.35,0,0.1022,0.9828,27.4148,20.0576,28.6957,0.5486,4.5302,27.89458689,66.7,172.163
0,4000,0,0,35,2500,0.014,0.35,5,0.0836,0.7745,36.0809,29.4065,36.4912,0.2191,2.6941,46.58605552,71.252,269.207
0,4000,0,0,35,2500,0.014,0.35,10,0.0653,0.6954,42.6895,36.4891,46.5175,0.6923,3.6073,61.38840955,77.473,542.325
0,4000,0,0,35,2500,0.014,0.35,15,0.0745,0.5603,48.9923,39.8801,53.1852,1.2675,6.3461,87.43940746,80.449,1009.741
0,4000,0,0,35,2500,0.014,0.35,20,0.068,0.6719,33.3567,27.1435,34.7066,0.5894,3.6866,49.64533413,74.734,401.574
0,4000,0,0,35,2500,0.014,0.35,25,0.0699,0.5564,38.4793,31.4698,40.6161,0.4557,3.4875,69.15762042,78.255,694.067
0,4000,0,0,35,2500,0.014,0.35,30,0.0674,0.5259,38.2112,30.5023,37.9432,0.426,2.9017,72.65868036,79.109,806.944
0,4000,0,0,35,2500,0.014,0.35,35,0.0661,0.5543,36.0104,29.3308,38.1251,0.5849,3.9359,64.96554213,79.107,798.94
0,4000,0,0,35,2500,0.014,0.35,40,0.0741,0.4796,35.3356,28.0167,35.5534,0.626,4.1773,73.67723103,80.211,1000.184
0,4000,0,0,35,2500,0.014,0.35,45,0.0697,0.5246,35.7682,29.2528,36.1278,0.3158,3.0221,68.18185284,78.973,793.522
0,4000,0,0,35,2500,0.014,0.35,50,0.0619,0.6177,37.8391,29.6622,38.0492,0.2886,3.3731,61.25805407,76.613,542.442
0,4000,0,0,35,2500,0.014,0.35,55,0.0666,0.6344,33.8486,27.3374,34.4378,0.154,3.0882,53.35529634,75.438,460.833
